  0%| | 0/1000 [00:00<?/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/autograd/graph.py:841: UserWarning: c10d::broadcast_: an autograd kernel was not registered to the Autograd key(s) but we are trying to backprop through it. This may lead to silently incorrect behavior. This behavior is deprecated and will be removed in a future version of PyTorch. If your operator is differentiable, please ensure you have registered an autograd kernel to the correct Autograd key (e.g. DispatchKey::Autograd, DispatchKey::CompositeImplicitAutograd). If your operator is not differentiable, or to squash this warning and use the previous behavior, please register torch::CppFunction::makeFallthrough() to DispatchKey::Autograd. (Triggered internally at /pytorch/torch/csrc/autograd/autograd_not_implemented_fallback.cpp:62.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/deepspeed/runtime/zero/stage3.py:1208: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                       
{'loss': 1.9375, 'grad_norm': 0.9688287518393666, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.9609, 'grad_norm': 0.9725954580650827, 'learning_rate': 8.613531161467861e-05, 'epoch': 0.0}
{'loss': 2.0469, 'grad_norm': 1.0005339150845287, 'learning_rate': 0.00013652123889719707, 'epoch': 0.0}
{'loss': 1.9824, 'grad_norm': 0.9799414200693723, 'learning_rate': 0.00017227062322935723, 'epoch': 0.0}
{'loss': 1.9531, 'grad_norm': 1.0022481443102988, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 1.9258, 'grad_norm': 0.9593522556852, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 1.8477, 'grad_norm': 0.927405369293353, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 2.0293, 'grad_norm': 0.9982475183591273, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 1.9277, 'grad_norm': 0.975861076223399, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 1.9473, 'grad_norm': 0.9948981795617643, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 1.9746, 'grad_norm': 1.0033741294027305, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 2.0156, 'grad_norm': 1.010386882749391, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 1.9434, 'grad_norm': 0.9244452385206154, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 1.8984, 'grad_norm': 0.9723914831657069, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 1.8262, 'grad_norm': 0.9533631074252923, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 2.0371, 'grad_norm': 1.0224082372103742, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 1.9414, 'grad_norm': 0.9768476146293399, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 1.9062, 'grad_norm': 0.9659363278715389, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 1.8945, 'grad_norm': 0.9757125207230372, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 2.002, 'grad_norm': 0.9716183436980524, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 1.7891, 'grad_norm': 0.8882253342394404, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 2.1016, 'grad_norm': 1.0369180908814668, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 1.8457, 'grad_norm': 0.9257833102561464, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 2.002, 'grad_norm': 1.003581309888063, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 1.9121, 'grad_norm': 0.9530789723773632, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 2.0137, 'grad_norm': 0.9849483697207814, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.9863, 'grad_norm': 0.9738614991272742, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.9609, 'grad_norm': 0.9616835264670623, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.9375, 'grad_norm': 0.9825208852940799, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.9102, 'grad_norm': 0.9572046239643183, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.8672, 'grad_norm': 0.9371723874187898, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.9844, 'grad_norm': 0.9753781881215517, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.957, 'grad_norm': 0.9788060166660801, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.873, 'grad_norm': 0.9379190144339322, 'learning_rate': 0.0002, 'epoch': 0.03}
{'loss': 1.9512, 'grad_norm': 0.9846384816028292, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.9727, 'grad_norm': 0.9815769695586631, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.9219, 'grad_norm': 0.9541910182283095, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.9512, 'grad_norm': 0.9771404539762311, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.9688, 'grad_norm': 1.0002288556484835, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 2.1055, 'grad_norm': 1.0533773691493176, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.9121, 'grad_norm': 0.9642524915350962, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.9023, 'grad_norm': 0.9379576519677024, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.8906, 'grad_norm': 0.9592806791480368, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.8848, 'grad_norm': 0.9511778907663974, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.9414, 'grad_norm': 0.9721011374018089, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 1.9238, 'grad_norm': 0.9584432345412485, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.7461, 'grad_norm': 0.9125463186553361, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.9785, 'grad_norm': 0.9831127975492324, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 2.0547, 'grad_norm': 0.9958122304385579, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.9316, 'grad_norm': 0.9645135600242762, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.9004, 'grad_norm': 0.9439960487412341, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8203, 'grad_norm': 0.8987558878784014, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 2.1133, 'grad_norm': 1.0287167037822535, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8438, 'grad_norm': 0.9398042970210441, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 2.0156, 'grad_norm': 1.0024156005035099, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 2.0508, 'grad_norm': 0.9980621635326081, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9805, 'grad_norm': 0.9697614742267973, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.8848, 'grad_norm': 0.9598451934609853, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9277, 'grad_norm': 0.9809160769901043, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.8789, 'grad_norm': 0.9474488385964767, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 2.0273, 'grad_norm': 1.0034292549927926, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.8594, 'grad_norm': 0.9147404170132519, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9453, 'grad_norm': 0.9895946836657183, 'learning_rate': 0.0002, 'epoch': 0.06}
