  0%|                                                            | 0/4000 [00:00<?, ?it/s]/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/autograd/graph.py:841: UserWarning: c10d::broadcast_: an autograd kernel was not registered to the Autograd key(s) but we are trying to backprop through it. This may lead to silently incorrect behavior. This behavior is deprecated and will be removed in a future version of PyTorch. If your operator is differentiable, please ensure you have registered an autograd kernel to the correct Autograd key (e.g. DispatchKey::Autograd, DispatchKey::CompositeImplicitAutograd). If your operator is not differentiable, or to squash this warning and use the previous behavior, please register torch::CppFunction::makeFallthrough() to DispatchKey::Autograd. (Triggered internally at /pytorch/torch/csrc/autograd/autograd_not_implemented_fallback.cpp:62.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/deepspeed/runtime/zero/stage3.py:1208: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                          
{'loss': 1.7344, 'grad_norm': 0.925111423689187, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8516, 'grad_norm': 0.9541770257068228, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8828, 'grad_norm': 0.9258924972716359, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 2.0156, 'grad_norm': 1.0185429836635822, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.9688, 'grad_norm': 1.0218260213797405, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.7109, 'grad_norm': 0.7621242910828875, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.9062, 'grad_norm': 0.9996966855675603, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8828, 'grad_norm': 0.9591474530383334, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8281, 'grad_norm': 0.932518503450384, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.9141, 'grad_norm': 0.9741846049549593, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 2.0312, 'grad_norm': 0.9917106383589797, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 2.0156, 'grad_norm': 0.9699306062081838, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.9766, 'grad_norm': 0.9643474337086145, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.7578, 'grad_norm': 0.8909119260951633, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8516, 'grad_norm': 0.96313820029687, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8281, 'grad_norm': 0.947098487187892, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.8594, 'grad_norm': 0.9174075744808541, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.875, 'grad_norm': 0.9437131356624613, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.6641, 'grad_norm': 0.8553015140473216, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.9688, 'grad_norm': 0.9908967520841996, 'learning_rate': 0.0002, 'epoch': 0.06}
